day,start_time,venue,title,speaker,tag 1,tag 2
Friday,14:00,Tea Hut,Andhra Notkodi Kura,Mohan Kishore,food-demo,
Friday,15:00,Tea Hut,Rasmalai Curries,Soma,food-demo,
Friday,16:00,Tea Hut,Non-Veg Curries but Vegan,Narhari,food-demo,
Friday,17:00,Tea Hut,Vegan Egg Salad,Shikhar,food-demo,
Friday,18:30,Tea Hut,-Dinner-,,meal,
Friday,20:00,Tea Hut,Solo Acoustic Set,Vineeth Vincent,music,
Friday,21:00,Tea Hut,Indian Pop Music,DJ Jazzy G,music,
Friday,08:30,Main Hut,-Breakfast-,,meal,
Friday,11:00,Main Hut,Stillness in Motion,Archanana,movement,wellness
Friday,11:30,Main Hut,5 Steps: Live 10 Years Longer,Dr Eswar,talk,wellness
Friday,12:30,Main Hut,-Lunch-,,meal,
Friday,14:00,Main Hut,A Word with Mr World,Dr Ashu,talk,
Friday,15:00,Main Hut,Beyond the Summit,Kuntal,talk,
Friday,16:00,Main Hut,Compassionate Society,Aviram + Jazz,talk,community
Friday,17:00,Main Hut,Animal Laws in India,Sai Vignesh,talk,activism
Friday,18:00,Main Hut,Seantience Movie,Documentary,movie,
Friday,20:00,Main Hut,Collaborative Games for Kids,Nitin,kids,community
Friday,11:00,Mind & Body,Reconnect with Yourself,Rainee,wellness,meditation
Friday,12:00,Mind & Body,Salutation to the Earth,Annette,meditation,nature
Friday,14:00,Mind & Body,Connecting w/ Animals,Gargi,talk,wellness
Friday,15:00,Mind & Body,Love Yourself,Ritika Gupta,wellness,
Friday,16:00,Mind & Body,Grow Microgreens,Utsav,workshop,nature
Friday,17:00,Mind & Body,Somatic Mindful Movements,Abharna,movement,wellness
Friday,10:30,Speaker Hut,The Power of Upcycling,Arpitha,talk,activism
Friday,11:30,Speaker Hut,An Exponential Impact on Your Life,Chida,talk,
Friday,14:00,Speaker Hut,Power of Community,Abhinav Ubuntu,talk,community
Friday,15:00,Speaker Hut,Human Nature Decides Human Food,Darryl,talk,
Friday,16:00,Speaker Hut,Compassion Begins in the Womb,Shalini,talk,
Friday,17:00,Speaker Hut,Building Resilience as a Woman,Jeewan,talk,wellness
Friday,17:30,Speaker Hut,Vegan Strength & Muscle Training,Amal,fitness,talk
Friday,10:00,Mud Pool,Sound Bath,Annette,meditation,wellness
Friday,15:00,Mud Pool,Zumba,Ashija,dance,fitness
